date,asset_ticker,asset_type,open,high,low,close,volume
2024-12-04,BTC,digital_currency,95924.85000000,99263.20000000,94634.85000000,98746.24000000,17528.92050771
2024-12-03,BTC,digital_currency,95862.89000000,96310.10000000,93571.30000000,95924.52000000,17898.70462120
2024-12-02,BTC,digital_currency,97259.17000000,98200.00000000,94400.63000000,95862.89000000,15554.61486745
2024-12-01,BTC,digital_currency,96464.95000000,97895.90000000,95753.42000000,97263.18000000,4039.27591451
2024-11-30,BTC,digital_currency,97489.80000000,97509.60000000,96129.73000000,96465.42000000,3476.04255853
2024-11-29,BTC,digital_currency,95665.53000000,98750.00000000,95383.46000000,97490.56000000,12587.02498942
2024-11-28,BTC,digital_currency,95951.19000000,96676.31000000,94671.59000000,95665.53000000,5586.55288339
2024-11-27,BTC,digital_currency,91929.53000000,97386.06000000,91747.46000000,95951.19000000,15213.90946356
2024-11-26,BTC,digital_currency,93001.48000000,95004.92000000,90682.58000000,91929.54000000,17848.01962899
2024-11-25,BTC,digital_currency,98032.06000000,98999.00000000,92534.93000000,93000.01000000,20695.91249500
2024-11-24,BTC,digital_currency,97778.78000000,98700.00000000,95780.77000000,98028.18000000,8654.77135767
2024-11-23,BTC,digital_currency,99024.03000000,99044.11000000,97215.01000000,97778.77000000,12072.47203722
2024-11-22,BTC,digital_currency,98439.10000000,99860.00000000,97209.52000000,99024.03000000,29936.62215019
2024-11-21,BTC,digital_currency,94384.15000000,99073.53000000,94127.20000000,98439.09000000,31188.09394751
2024-11-20,BTC,digital_currency,92445.04000000,94989.99000000,91600.00000000,94393.15000000,20329.03998700
2024-11-19,BTC,digital_currency,90521.32000000,94105.84000000,90403.24000000,92435.89000000,18267.16111244
2024-11-18,BTC,digital_currency,89877.11000000,92674.80000000,89372.65000000,90520.30000000,17340.77166451
2024-11-17,BTC,digital_currency,90638.54000000,91439.82000000,88713.64000000,89886.69000000,5574.55122824
2024-11-16,BTC,digital_currency,91058.36000000,91820.73000000,90069.21000000,90636.24000000,6598.02693040
2024-11-15,BTC,digital_currency,87338.96000000,91934.62000000,87100.83000000,91058.36000000,20388.33115227
2024-11-14,BTC,digital_currency,90499.40000000,91831.25000000,86672.07000000,87340.40000000,23422.75915863
2024-11-13,BTC,digital_currency,88035.43000000,93495.00000000,86220.50000000,90493.82000000,42318.69091680
2024-11-12,BTC,digital_currency,88770.74000000,90100.00000000,85010.00000000,88035.43000000,40111.80924643
2024-11-11,BTC,digital_currency,80427.69000000,89666.00000000,80277.34000000,88770.73000000,35560.11866694
2024-11-10,BTC,digital_currency,76716.06000000,81534.28000000,76535.33000000,80428.92000000,16728.21105103
2024-11-09,BTC,digital_currency,76566.72000000,76952.67000000,75758.58000000,76716.06000000,4836.57005338
2024-11-08,BTC,digital_currency,75925.00000000,77312.18000000,75654.26000000,76566.73000000,18378.39876264
2024-11-07,BTC,digital_currency,75646.55000000,76999.00000000,74463.96000000,75920.00000000,21932.40207681
2024-11-06,BTC,digital_currency,69380.64000000,76509.56000000,69285.82000000,75646.55000000,45398.11837369
2024-11-05,BTC,digital_currency,67810.15000000,70557.67000000,67427.53000000,69380.73000000,12867.66127618
2024-11-04,BTC,digital_currency,68736.40000000,69453.94000000,66783.77000000,67807.48000000,12431.01371517
2024-11-03,BTC,digital_currency,69360.95000000,69364.65000000,67444.00000000,68738.18000000,6758.88506466
2024-11-02,BTC,digital_currency,69466.64000000,69891.92000000,69000.00000000,69358.94000000,2203.99644104
2024-11-01,BTC,digital_currency,70198.02000000,71620.00000000,68720.00000000,69467.29000000,15295.28781188
2024-10-31,BTC,digital_currency,72322.91000000,72684.02000000,69559.33000000,70197.83000000,14726.78460342
2024-10-30,BTC,digital_currency,72724.35000000,72948.60000000,71400.01000000,72322.91000000,13543.49337837
2024-10-29,BTC,digital_currency,69924.49000000,73624.98000000,69705.76000000,72724.35000000,20616.91187006
2024-10-28,BTC,digital_currency,67943.18000000,70235.98000000,67532.48000000,69924.50000000,16140.14013624
